ïΩê¨ÇQÇUîN,é–âÔà„ó√êfó√çsà◊ï í≤ç∏,ïΩê¨ÇQÇUîNÇUåéêRç∏ï™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ëÊÅ@ÇPï\,à„â»êfó√ÅiëçêîÅjÅ@åèêîÅEêfó√é¿ì˙êîÅEâÒêîÅEì_êîÅCèùïaï™óﬁÅAàÍî à„ó√Å|å„ä˙à„ó√ÅEîNóÓäKãâÅAêfó√çsà◊ÅiëÂï™óﬁÅjï ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇPÅjÅuåèêîÅvÇÕÅAñæç◊èëÇÃêîÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇQÅjÅuâÒêîÅvÇÕÅAìñäYêfó√çsà◊Ç™é¿é{Ç≥ÇÍÇΩâÑÇ◊éZíËâÒêîÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇRÅjëçêîÇ…ÇÕÅAÅuó√ó{íSìñéËìñìôÅvÅAÅuçáéZñÚç‹óøÅvÅAÅuï‚ê≥ì_êîÅvÇä‹ÇﬁÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇSÅjëçêîÇ…ÇÕÅAì¸â@éûêHéñó√ó{ìôÇä‹Ç‹Ç»Ç¢ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇTÅjëçêîÇ…ÇÕÅAÅuá]á]Å@èùïaãyÇ—éÄñSÇÃäOàˆÅvÅAÅuá]á]áTÅ@åíçNèÛë‘Ç…âeãøÇãyÇ⁄Ç∑óvàˆãyÇ—ï€åíÉTÅ[ÉrÉXÇÃóòópÅvÅAÅuá]á]áUÅ@ì¡éÍñ⁄ìIópÉRÅ[ÉhÅvÅAÅuïsè⁄ÅvÇä‹ÇﬁÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,åèêî,êfó√é¿ì˙êî,ëçêî,,èâ   ÅE  çƒ êf,,à„ äw ä« óù ìô,,ç›Å@ëÓÅ@à„Å@ó√,,åüÅ@Å@Å@Å@Å@ç∏,,âÊÅ@ëúÅ@êfÅ@íf,,ìäÅ@Å@Å@Å@Å@ñÚ,,íçÅ@Å@Å@Å@Å@éÀ,,ÉäÉnÉrÉäÉeÅ[ÉVÉáÉì,,ê∏ê_â»êÍñÂó√ñ@,,èàÅ@Å@Å@Å@Å@íu,,éËÅ@Å@Å@Å@Å@èp,,ñÉÅ@Å@Å@Å@Å@êå,,ï˙ éÀ ê¸ é° ó√,,ïa  óù  êf  íf,,ì¸  â@  óø  ìô,,êfífåQï™óﬁÇ…ÇÊÇÈïÔäáï]âøìô,,ì¸â@éûêHéñó√ó{ìô(ï åfÅFâ~),
,70Å`74çŒ,662488,1253304,17564805,1790373122,1045371,119578709,687956,123010448,17294,33830932,1773352,256530296,171551,69975868,13095514,201990254,179306,83705223,105267,20810194,11918,3847426,185427,64606692,17205,162301649,18969,27144297,1657,3284238,52994,29478729,101487,257371608,99485,332625989,437857,290346876
,75Å`79çŒ,609346,1275659,17957779,1844827752,1017037,114318737,663219,118754553,24489,42626420,1672063,229482329,178583,68479627,13459784,200091214,232703,83316392,147374,29476140,10352,3602661,219992,59833051,17906,171086881,25363,28912468,1528,3057114,41545,22878618,134648,297622863,111079,371167175,548657,359625068
,80Å`84çŒ,481624,1139072,15594648,1710484606,821195,92168188,542515,97343709,35427,52997512,1339220,169346806,161359,56390039,11683405,169721041,242166,72454694,188750,38005717,8492,3008067,214954,49560097,16052,150922827,26214,25362218,836,1339792,24728,13175003,173817,336884212,115445,381692199,668761,430568848
,85çŒà»è„,410387,1192039,14075341,1933994021,620391,71472153,442152,79408393,82905,101786829,1186157,129786729,167833,51224483,10291490,144948244,262042,74191536,270892,54822728,8353,3488454,235712,42284743,17367,158267526,21413,21932951,419,305514,12817,6359452,316096,536121901,139239,457452860,1066102,666175554
á]áUÅ@îÁïÜãyÇ—îÁâ∫ëgêDÇÃéæä≥,ëçêî,5720147,8702472,58788373,5684757462,7741889,1312271386,2776234,399353069,134763,215102593,3885474,426807486,281065,92492048,39548942,950356272,596828,376492922,461271,90965570,40182,14058693,2551838,456393241,78865,186142958,47831,25054527,12005,18279760,48585,24134876,466535,745850829,115620,349574356,1635345,1024753444
,àÍî à„ó√,4877575,6846186,42846589,3939855469,6343274,1139569778,2254107,324727701,29146,79201880,2741581,319950000,164559,56515588,28571128,731007634,322073,272555856,174117,35194554,28581,9311174,1869382,306548671,63824,137731416,16439,16265787,10262,15314290,38333,18815573,154472,266128812,64998,210189271,581309,381118398
,å„ä˙à„ó√,842572,1856286,15941784,1744901993,1398615,172701608,522127,74625368,105617,135900713,1143893,106857486,116506,35976460,10977814,219348638,274755,103937066,287154,55771016,11601,4747519,682456,149844570,15041,48411542,31392,8788740,1743,2965470,10252,5319303,312063,479722017,50622,139385085,1054036,643635046
,00Å`04çŒ,726503,1040359,3006613,512395325,734026,178145697,481032,165190407,454,2185503,211442,34728750,6471,1218483,1354601,58383766,4391,2177178,3806,883458,127,49030,198357,22739339,1226,3678322,195,1036920,13,1430,256,109530,5768,20373894,4405,21474342,19812,12695954
,05Å`09çŒ,381117,505418,2136791,221393197,502735,104097353,109145,7846516,518,3540753,121592,18855498,5481,958634,1204539,42912746,2779,1741609,4077,920957,251,99985,179972,21798299,1177,1642719,94,374769,-,-,279,130340,2004,6175006,2144,10255066,9061,5920474
,10Å`14çŒ,277075,357156,1733610,156634903,354387,68759968,76513,4044129,496,4510468,90021,13196789,6307,1152600,1074343,33003361,4233,1631970,2913,634365,448,184040,117771,14252332,2014,3090605,86,395214,7,4260,359,190068,2551,6555758,1158,4961263,8122,5272780
,15Å`19çŒ,255060,319324,1920768,137197017,315854,59101121,89471,4915294,325,2793617,75091,9790403,4296,1022940,1335001,34727352,6993,2284976,2404,497118,729,272265,83362,8957757,2821,3813657,87,271648,28,49210,629,327192,2426,4619930,1245,3736650,9239,6069016
,20Å`24çŒ,267139,331194,2146169,151607253,325194,62329964,103414,6216784,385,1518329,102737,12870852,3529,1010781,1505495,37506026,10490,2755738,2891,607153,983,306200,80941,8588010,3148,5714633,184,441098,66,65500,1453,650624,3509,5881687,1742,5138595,13228,8492616
,25Å`29çŒ,293983,369609,2381097,179088712,359580,68163940,117676,7617873,560,1852479,126889,15605954,4300,1236574,1652717,41305843,13963,7710004,3073,641682,1451,466605,87153,10062290,3764,7688808,335,690364,85,105290,2066,885754,5167,7978553,2300,6972272,19189,12146226
,30Å`34çŒ,299757,383804,2457652,191887152,371783,68696314,123986,8604451,630,2685008,142661,17160666,5566,1718261,1683223,42938780,16337,8171155,4240,888312,2119,713445,90587,11391732,4345,9990914,503,775896,181,284940,2585,1198329,6946,10621979,1953,6033775,22866,14430326
,35Å`39çŒ,317632,416907,2734888,225441991,404620,72583247,133941,10109551,945,3432601,163487,19196513,7087,2266962,1874788,46596496,19397,16611782,5886,1215831,2516,872622,101566,14881894,5320,11454562,629,1067712,702,915000,3149,1453906,7439,11903727,3382,10860183,27935,18047878
,40Å`44çŒ,325444,438838,3064002,251704655,425889,73766993,141023,11570373,1473,4598274,185538,21045332,9236,3097611,2131619,50721335,23400,22322978,8586,1827202,3079,988865,109486,17848432,5811,10892702,813,1171901,1118,1526196,3468,1672104,9168,14915717,4272,13670113,36180,23941782
,45Å`49çŒ,278910,388209,2838527,234067076,376127,62832267,123803,10960339,1610,4458148,174631,19347739,10017,3712852,1992409,45719939,24686,23153504,7939,1591957,2651,851310,100320,18179985,5471,9631785,816,1076599,1550,2213636,3463,1656147,8281,13509868,4751,15137010,34798,23295168
,50Å`54çŒ,251611,364102,2762614,243112793,349500,56503269,116646,11651670,1997,6703764,181247,19388296,11843,4392764,1932763,45118794,25898,26192370,11343,2309779,2826,829035,101598,22118760,5173,10199870,1197,1322795,1118,1710034,3238,1564250,11280,18119310,4941,14958329,43966,29458726
,55Å`59çŒ,243431,365291,2808655,263477162,347178,54435583,117920,12903544,2780,6942019,195663,20338907,13641,5042868,1946509,46151051,26970,29874808,15411,3117446,2700,956067,108984,25341933,5079,11998266,1291,1387496,1117,1791464,3288,1671619,13983,22499785,6112,18923558,54192,36353800
,60Å`64çŒ,300574,471819,3679656,364166887,443768,66727034,153168,18178229,4760,10443272,277357,28449581,20678,8153377,2522476,61436713,36687,42283315,24542,4942218,3335,982675,147889,40749356,6105,14624692,1977,1851000,1479,2139162,4329,2228997,22648,36083509,8417,24728454,82902,55733198
,65Å`69çŒ,324214,531384,4390195,425131165,496653,70866415,175213,21854436,6572,13247585,338534,33943039,26083,10006615,3035031,71575827,46551,46517907,34449,6832181,3175,1118830,173272,49186901,6462,17094186,2979,2257658,1714,2701232,4921,2560812,28896,47050281,9663,28171685,108742,70332876
,70Å`74çŒ,355681,628117,5321484,488693705,579255,77125807,204315,26310160,9440,17668718,397372,39904041,34294,12934617,3676872,81235080,66196,44799388,56760,11139365,3556,1092565,222245,51607261,6543,19250241,5889,2713700,1124,1921886,5132,2663139,40652,64283191,11744,33901367,149429,95514940
,75Å`79çŒ,316255,607952,5395073,492420683,537359,67978409,191606,25811121,14584,22896259,389190,37864950,36924,12951299,3758489,78208530,80948,38231525,67531,12966423,3159,1106790,226462,46848079,5578,16105686,9300,2874606,1085,1769594,4309,2222930,56082,89006283,12464,35447327,198630,124705752
,80Å`84çŒ,256315,549470,4901911,486452807,440971,53926937,162368,22685170,23460,31861840,341005,32202768,35132,11074042,3404852,67039110,86598,29471748,85425,16570278,3379,1371292,206195,37908858,4471,15189871,11534,2866105,367,656186,3183,1667555,78128,121293883,14751,40559588,271574,167025670
,85çŒà»è„,249446,633519,5108668,659884979,377010,46231068,154994,22883022,63774,73763956,371017,32917408,40180,10540768,3463215,65775523,100311,30560967,119995,23379845,3698,1797072,215678,33932023,4357,14081439,9922,2479046,251,424740,2478,1281580,161607,244978468,20176,54644779,525480,315316262
á]áVÅ@ãÿçúäiånãyÇ—åãçáëgêDÇÃéæä≥,ëçêî,7418320,19625068,138848742,16076945606,17712696,1896686443,4078813,520476205,190100,420132199,9651810,932585213,5909728,1375600519,79961869,1609608183,4696817,1516746000,6114989,1091700383,61249,20808850,7462636,597185354,93136,1976970199,1111001,506187905,3393,5370336,34961,14069776,1180718,1876799453,583968,1715008774,5127125,3238498624
,àÍî à„ó√,4852143,11329006,77975434,9230171359,10550631,1221836082,2458675,306440039,56777,205561683,6188837,597747328,4245878,991064743,43756255,921905499,2115643,855359039,3126991,561663481,45258,15014513,4112403,326636981,62112,1227061434,514225,302828857,2483,3807612,23931,9541778,377860,635394073,336887,1047593485,1942162,1276962914
,å„ä˙à„ó√,2566177,8296062,60873308,6846774247,7162065,674850361,1620138,214036166,133323,214570516,3462973,334837885,1663850,384535776,36205614,687702684,2581174,661386961,2987998,530036902,15991,5794337,3350233,270548373,31024,749908765,596776,203359048,910,1562724,11030,4527998,802858,1241405380,247081,667415289,3184963,1961535710
,00Å`04çŒ,34770,56093,185804,157585327,37617,11263065,13160,4648613,112,783648,26809,7810227,24551,3701589,49925,757935,1030,2569020,5100,1170198,17,7160,2021,919840,9717,18201475,191,725021,19,2310,23,14140,2643,9606928,12860,95403602,34665,22558616
,05Å`09çŒ,30387,48084,189740,63737711,41994,8635199,7548,892743,155,955663,22200,4201048,46582,7691636,45903,1560229,619,1497065,9977,2081057,51,20950,6704,1256620,1315,5234314,239,1105058,1,110,27,13080,3062,7587352,3322,21005059,14305,9333882
,10Å`14çŒ,104806,179990,712936,141428732,171676,30386819,30434,2713833,292,5619364,32332,3832132,202316,38522508,161946,6641713,1793,2833691,59282,11229950,156,64115,44724,4522177,666,10043071,779,2204660,2,220,53,34670,3165,7959994,3291,14818055,15091,9844106
,15Å`19çŒ,85931,145020,672120,131516987,135980,23749897,28269,2975520,234,3215807,50164,5111856,148492,33795028,206398,6978214,4819,7096735,53155,10250877,455,180880,33627,3302237,854,13273539,2374,3476668,1,110,180,82268,3009,5045514,4106,12961952,17407,11360996
,20Å`24çŒ,60319,99038,601040,99792098,90752,16083252,24121,2579593,358,2196022,70671,6818466,85979,20400163,263222,7491338,5598,6190197,23427,4456606,784,252175,24369,2083230,630,9204125,3558,3475790,1,1390,333,138650,3074,5287612,4138,13132838,17880,11697020
,25Å`29çŒ,91164,152521,976143,153472438,138428,23527562,37682,4002557,741,7526959,115103,11085280,114587,27154756,466857,12395552,10847,10958362,32369,6139930,1762,611245,38612,3707022,818,14442169,6687,5067649,21,32790,586,210390,5639,9318802,5397,17289477,28088,18175342
,30Å`34çŒ,132167,229820,1521339,215687485,210538,33765792,55567,6035769,1181,5726279,177067,16787842,155360,36897029,760645,19117593,18614,15965509,48561,9169380,2562,835640,61741,5176335,1177,21766536,11492,7872873,31,29840,818,290598,8573,13839899,7400,22401313,40757,26322946
,35Å`39çŒ,196550,357856,2429416,315260697,333074,49792016,84343,9191772,1917,9681561,268031,25098377,215692,51914230,1266120,30302959,32824,26483067,76788,14162757,4208,1437604,103071,8841104,1566,26717006,18871,10884913,22,6290,1237,453936,11073,18154185,10567,32076354,55847,36498058
,40Å`44çŒ,275978,530630,3655401,456793704,497767,69652686,122870,13915961,2842,15300957,377364,34852382,288952,69200146,1955139,45044377,59156,41609430,122826,22461030,5325,1830696,161651,15114097,2013,40703347,27636,15795765,77,92830,1548,568363,15160,24902995,15015,45735921,77800,51395150
,45Å`49çŒ,327567,668664,4593523,527499719,630833,82300737,149564,17302815,3209,12804082,427797,39573282,319251,75182050,2507423,54831700,91930,50360006,170763,30831111,5212,1736079,214330,19266947,2498,48391034,34496,17391810,136,283210,1945,679634,18234,29919968,15890,46610650,89569,59275886
,50Å`54çŒ,407938,872871,6063319,698558249,819957,100680168,195450,23481747,4334,16770393,529489,49112915,373190,85759658,3366560,70611075,146366,68470429,239793,43286576,4779,1606860,286722,26349077,3958,81912330,42544,22359271,201,340530,2217,787384,25217,40929383,22515,66028166,126768,84313220
,55Å`59çŒ,489731,1081562,7876464,938619117,1004193,116881777,249698,31544205,6063,21924592,660173,61535795,410064,95013998,4541033,93763064,203295,97231590,301936,54984816,4971,1688408,366402,37021642,6009,138232398,49475,30771154,372,541202,2333,931495,37665,61855926,32743,94577106,188959,125784950
,60Å`64çŒ,706079,1664907,12080128,1405744038,1543920,168444672,376849,48875039,9549,30777481,962518,91476636,544566,128007520,7039142,145483068,329796,143909840,463954,83949663,5482,1802055,609133,63419778,8478,202999908,70308,45474703,389,588830,3532,1467982,60158,98254591,52195,150642286,304244,203698806
,65Å`69çŒ,855588,2177317,15711316,1772953332,2018141,208090473,475561,62452249,12335,37645336,1172276,112887490,616152,147816010,9216528,185667079,468252,174446205,618613,110612462,5159,1598573,848628,77641301,10329,264622051,94691,59251949,568,862290,4266,1783315,83705,138427322,66017,189000403,422350,275093624
,70Å`74çŒ,1098728,3238607,22176348,2431825341,3007753,290562589,636747,82088914,17903,47572676,1422080,139151781,741525,179856622,12797386,259771704,777248,243371405,998454,175076685,5576,1814828,1374084,99426395,13295,360722887,159931,83147505,723,1231660,5196,2235429,126996,210930443,91362,254768199,629042,407239168
,75Å`79çŒ,1065853,3356994,23379494,2574634116,3065937,287872170,642575,83249883,24074,51353536,1368231,134299928,696013,167194579,13563990,268033003,943926,252432651,1106895,194164721,5569,1815825,1448163,98011676,13905,375382596,214392,90346735,493,890074,4814,2055155,180348,294556641,100081,272855855,824047,526081614
,80Å`84çŒ,844018,2737846,20226792,2172683490,2419640,226155291,537863,69688419,33891,57672273,1109063,107867396,542344,124269079,12015995,228158237,911485,216223997,984341,174279508,4785,1696106,1132127,78073928,10033,245054368,217557,69875163,231,322570,3672,1499853,220453,348635115,83193,223169835,913614,571066964
,85çŒà»è„,610746,2027248,15797419,1819153025,1544496,148842278,410512,54836573,70910,92605570,860442,81082380,384112,83223918,9737657,172999343,689219,155096801,798755,143393056,4396,1809651,706527,53051948,5875,100067045,155780,36961218,105,144080,2181,823434,372544,551586783,53876,142531703,1326692,788758276
á]áWÅ@êtîAòHê∂êBäÌånÇÃéæä≥,ëçêî,2757526,6817704,64341251,13131077068,5513380,636197908,1557374,491630990,124446,341838616,9758579,1099912871,801527,303879579,40555544,824577399,645683,433171924,606172,123470229,29034,8642782,2874546,5254003746,67664,697731264,40347,90825326,4916,9296264,510601,111060956,833996,1375507055,417045,1319200808,3456078,2240116412
,àÍî à„ó√,2021399,4238701,38765425,7379106438,3781567,471659627,983341,282536153,48923,192188636,6655004,814039140,547575,211716598,23719830,516807689,374814,234364574,163620,34374129,20881,6106272,1513256,2867524143,43767,468276931,25783,69584212,3236,6103888,455057,98273287,220534,410373575,207995,687330876,1099301,740052586
,å„ä˙à„ó√,736127,2579003,25575826,5751970630,1731813,164538281,574033,209094837,75523,149649980,3103575,285873731,253952,92162981,16835714,307769710,270869,198807350,442552,89096100,8153,2536510,1361290,2386479603,23897,229454333,14564,21241114,1680,3192376,55544,12787669,613462,965133480,209050,631869932,2356777,1500063826
,00Å`04çŒ,28006,52225,199048,89366650,34445,8255818,16907,5488867,282,1661523,60248,6614669,3030,1435007,67752,1811094,1365,802477,605,142350,-,-,2538,469116,217,3227036,318,1512403,3,330,44,22230,1928,9271937,9359,48505787,19893,13147830
,05Å`09çŒ,27280,44094,210477,43584848,40136,8128268,8668,1335079,393,1783453,77878,6392129,1586,611631,73102,2385611,858,460058,629,142515,62,29790,2461,363888,130,898570,176,797746,18,24816,75,26420,919,3498069,3379,16666991,10517,7094098
,10Å`14çŒ,17184,27110,178313,35957627,23483,4239931,5775,952189,467,2499261,67392,5625535,1480,553129,72452,2255334,826,428289,649,147165,120,52490,1326,429513,138,948187,163,764519,-,-,143,47928,1053,3093533,2844,13823393,9389,6359046
,15Å`19çŒ,30905,44305,376235,48791788,39692,7518569,10284,911014,470,2171026,105206,11583415,3255,1388851,199242,5596310,2202,1072417,898,211890,292,113580,5636,1818813,279,2250366,187,752686,2,220,4262,816523,1311,2775136,3010,9778118,10235,6924978
,20Å`24çŒ,80452,113257,980504,109888336,102888,18720008,26031,1762631,509,1776892,227592,30680720,7595,3068946,555138,15572225,5693,2044930,760,168685,668,194675,21656,6608599,681,5080843,368,1155017,8,2270,24478,4605422,2389,5000143,4040,13397921,15264,10091680
,25Å`29çŒ,139080,221782,1683184,204957774,199001,31671277,44471,3394390,1012,3634460,397862,60482921,16794,6860537,904275,23362842,20643,5400572,1676,371243,1184,355109,37898,14058675,1750,13988748,969,2727134,2,330,44801,8894924,5490,11765277,5318,17948086,25293,16150864
,30Å`34çŒ,181384,320225,2206068,314746014,289759,41888511,58527,6014294,1707,7472056,558958,88785897,30487,11880697,1097390,27140151,39937,10462053,2014,457509,1590,526144,50235,34302352,3141,27658385,1857,5222909,49,42320,55490,11813520,7220,15753130,7700,25078165,34837,22325216
,35Å`39çŒ,193024,351642,2539784,405213117,324450,44860726,63430,9728906,2273,9915056,608383,94219114,44454,17044894,1304041,33298295,45024,14925959,2383,499970,1893,577589,61747,76496127,4050,35132912,2282,6070485,80,105030,57939,12883304,7875,18780781,9469,30495613,40302,26597326
,40Å`44çŒ,182940,342596,2729908,504614851,320943,42792596,66670,15762042,2632,12601477,556093,80195591,55276,21092525,1509813,39218835,41490,20315026,3708,802310,2154,638625,85872,154976281,4489,38985474,2257,6351919,125,207410,58573,13210755,7710,18249544,12096,38666282,45977,31258202
,45Å`49çŒ,166443,332110,2872330,576963376,310015,39661925,70708,20934375,3005,15693445,481649,64156164,55889,20943649,1700952,41002604,43441,21862600,8145,1741586,2712,768213,111225,223905168,4444,42580708,2325,7051707,277,423082,54644,12047601,9257,19451000,13635,43870507,54977,37649960
,50Å`54çŒ,157592,345258,3148462,643031870,319400,38604678,79406,26347760,3671,18439727,457842,55808172,54577,20105719,1963213,41936737,44269,21909129,9631,2064583,2332,608339,138856,293089217,3882,39258971,1864,5158014,188,256370,41885,9028415,13391,24527649,14036,45015389,67784,46757984
,55Å`59çŒ,144670,375892,3586448,823320381,338345,37145659,90416,36131442,5144,24224061,479359,52284469,54979,20472493,2297853,48824924,31375,23795610,16645,3461256,2061,576895,196477,427217859,3761,44247160,1901,5201845,237,460900,28181,5934061,22816,38231592,16881,53983463,101942,70556476
,60Å`64çŒ,190596,549557,5357790,1293645039,481080,48954704,134393,57591801,8450,35643929,709986,72876364,71971,27463022,3460747,72161427,29388,34489004,32306,6713900,2287,617165,318773,692630107,5258,66524386,2852,7493073,485,898500,27851,6052999,43076,71370628,28878,90578224,186527,129690928
,65Å`69çŒ,239937,688368,6996302,1597944382,591508,58085340,172180,70625541,11433,39719198,923373,92450829,79920,32027802,4597406,91936630,35816,43592377,47926,9939406,1897,565905,391331,825344803,6657,84395707,4012,10033645,844,1624292,29548,6705697,62500,105935365,39912,123425486,287749,189180008
,70Å`74çŒ,280471,778167,8339353,1717235102,644866,62821529,198373,72692048,13531,39870680,1106152,107574290,85767,34578176,5575433,107134100,48102,51114436,71692,14597381,2367,680538,411100,814039269,7205,90705146,4841,10544329,981,2114780,28734,6639750,90807,148763757,49342,152206584,400605,261338426
,75Å`79çŒ,276822,784848,8571132,1691799123,610490,59164598,198656,67369011,16010,38224777,1115953,105307943,82289,32813406,5775836,107104346,65054,59314346,96157,19471314,2451,690620,390257,726365741,7604,85565212,5417,9667034,954,2132300,24202,5701370,122057,195909967,57702,176263690,515781,334415872
,80Å`84çŒ,227707,702399,7508358,1497102165,483631,47153481,167722,53174119,18486,36053706,954361,88068921,72780,26713336,5031090,90442422,74157,56634636,125438,25347515,2352,693795,331532,561071436,6729,64966545,4706,6327671,461,801970,17238,3912297,156437,249233503,61173,185976796,629274,403218836
,85çŒà»è„,193033,743869,6857555,1532914625,359248,36530290,144757,41415481,34971,50453889,870292,76805728,79398,24825759,4369809,73393512,116043,64548005,184910,37189651,2612,953310,315626,400816782,7249,51316908,3852,3993190,202,201344,12513,2717740,277760,433896044,78271,233520313,999732,627358682
á]áXÅ@îDêPÅCï™ïÿãyÇ—éYÇ∂ÇÂÇ≠,ëçêî,272011,787312,3545475,1663826116,273650,36949723,116962,17597156,2425,4557659,775805,150896573,21998,4236001,1722497,25972935,114567,31881528,568,126161,805,232725,67039,5003312,32366,351581523,34504,43178177,130,28490,36538,13299992,126750,301726246,218503,676541705,863671,548605410
,àÍî à„ó√,272009,787304,3545455,1663721459,273647,36949065,116961,17596851,2425,4557659,775803,150896473,21996,4234729,1722495,25972799,114567,31881528,568,126161,805,232725,67039,5003312,32365,351556752,34502,43163977,130,28490,36537,13299472,126750,301725496,218497,676479760,863671,548605410
,å„ä˙à„ó√,2,8,20,104657,3,658,1,305,-,-,2,100,2,1272,2,136,-,-,-,-,-,-,-,-,1,24771,2,14200,-,-,1,520,-,750,6,61945,-,-
,00Å`04çŒ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,05Å`09çŒ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,10Å`14çŒ,79,136,486,226981,93,18942,18,4095,-,-,154,22535,30,8635,119,2579,2,5818,6,1450,1,680,5,276,4,12720,1,149,-,-,8,1950,3,14129,42,133023,103,67920
,15Å`19çŒ,3987,10423,44056,19068596,4094,683435,1443,178560,13,22457,11018,2250759,276,82713,19368,315379,1381,379440,6,1470,18,6380,1083,70538,325,2730919,288,437131,2,440,622,173484,1443,3295441,2676,8440021,10440,6603022
,20Å`24çŒ,23543,61225,277036,107469140,23919,3611862,9217,1147507,82,140660,64405,13378789,1513,333745,132104,2067657,9749,2642387,9,1405,36,11110,6517,464621,1998,19903041,1784,2495040,3,1100,2949,902617,9875,20272394,12809,40094419,56363,35043994
,25Å`29çŒ,70365,194726,879092,368041828,70010,9726684,29660,3926188,429,763698,189311,39024188,4653,878235,435835,6752079,29627,8608705,97,22451,140,41505,18403,1338447,6710,71634504,6577,9001779,25,4840,8174,2729536,31965,68569789,47352,145016562,199235,125269256
,30Å`34çŒ,92206,269793,1219579,562894685,90815,12120045,40174,5990818,785,1483514,260636,50963320,7084,1317995,604167,9104253,39792,11210452,159,34438,226,61195,23015,1695140,10723,118656386,11276,13961957,38,8910,11179,4041558,44417,101940514,74969,230294007,301121,191123692
,35Å`39çŒ,63115,193071,868222,450139135,63771,8157624,28334,4830301,798,1527239,189845,34847749,6147,1087270,416802,6101773,27213,7293683,235,52872,225,64390,14420,1122067,9078,102012490,10556,12794268,37,8580,9478,3726198,30846,78281001,60394,188229836,227132,145650216
,40Å`44çŒ,17548,55111,241536,148809249,19350,2417234,7681,1448664,301,573215,56260,9711249,2050,416021,107510,1532076,6606,1658373,51,11055,99,27530,3321,238329,3361,35208112,3853,4268738,20,4070,3652,1572571,7943,28047319,19468,61673913,66855,43255134
,45Å`49çŒ,941,2450,12860,6446649,1269,172858,362,59196,15,42580,3511,591046,146,63674,5435,76899,182,75877,-,-,42,14075,216,14010,155,1296628,157,188673,5,550,362,124460,246,1223831,757,2502292,2339,1539526
,50Å`54çŒ,149,258,1742,532489,216,27867,56,8698,1,1670,442,71940,75,31073,744,12921,13,6424,5,1020,12,3960,51,59456,10,100725,9,16073,-,-,67,16160,11,78815,30,95687,83,52650
,55Å`59çŒ,75,110,841,91764,109,12441,16,2824,1,2626,219,34328,22,15368,411,7183,2,369,-,-,6,1900,8,428,1,1227,1,169,-,-,44,10638,1,2263,-,-,-,-
,60Å`64çŒ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,65Å`69çŒ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,70Å`74çŒ,1,1,5,943,1,73,-,-,-,-,2,570,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,300,-,-,-,-,-,-
,75Å`79çŒ,2,8,20,104657,3,658,1,305,-,-,2,100,2,1272,2,136,-,-,-,-,-,-,-,-,1,24771,2,14200,-,-,1,520,-,750,6,61945,-,-
,80Å`84çŒ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,85çŒà»è„,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
á]áYÅ@é¸éYä˙Ç…î≠ê∂ÇµÇΩïaë‘,ëçêî,61982,248124,671467,1104783803,50742,9519336,26796,7183532,1834,9514534,152695,17795019,7993,1885794,184924,3006128,9645,7794243,16809,4030885,84,26460,35089,9533087,3659,34253610,1131,5883148,170,19250,360,177024,47286,207650295,129968,786478293,319280,201942946
,àÍî à„ó√,61948,248053,669558,1104644859,50700,9514676,26751,7178146,1834,9514534,152579,17782538,7966,1881628,183435,2973779,9624,7783478,16756,4021550,82,25800,35006,9523866,3659,34253610,1131,5883148,170,19250,360,177024,47255,207600374,129968,786478293,319227,201908026
,å„ä˙à„ó√,34,71,1909,138944,42,4660,45,5386,-,-,116,12481,27,4166,1489,32349,21,10765,53,9335,2,660,83,9221,-,-,-,-,-,-,-,-,31,49921,-,-,53,34920
